Customer,Serving Date,Item,Meal,Day,Portion Size grams or each,Order Amount,Quantity to Produce/Ship,Client,Frozen,Chilled,Shipment Date
Curlew,19/Jun/25,2% Milk Sleeve,Beverage,4,1,3,3,,,x,19/Jun/25
Curlew,16/Jun/25,Apple,Lunch,1,1,40,40,,,x,16/Jun/25
MIYM,24/Jun/25,Apple,Lunch,,0.5,8,4,,,x,23/Jun/25
Westover,27/Jun/25,Apple,Breakfast,2,0.5,43,21.5,,,x,23/Jun/25
Westover,2/Jul/25,Apple,Breakfast,7,0.5,43,21.5,,,x,23/Jun/25
Ying's,24/Jun/25,Apple,Lunch,,0.5,6,4,,,x,23/Jun/25
Curlew,20/Jun/25,Apple,PM Snack,5,1,35,35,,,x,20/Jun/25
MIYM,30/Jun/25,Apple,Snack,,0.5,8,4,,,x,23/Jun/25
Westover,26/Jun/25,Apple Crumble,Lunch Dessert,1,1,42,42,,x,,23/Jun/25
Westover,2/Jul/25,Apple Crumble,Dinner Dessert,7,1,42,42,,x,,23/Jun/25
Aurora CHATS,16/Jun/25,Applesauce,Lunch,,1,23,23,,,x,16/Jun/25
Bradford CHATS,16/Jun/25,Applesauce,Lunch,,1,17,17,,,x,16/Jun/25
Richmond Hill CHATS,16/Jun/25,Applesauce,Lunch,,1,20,20,,,x,16/Jun/25
Vaughan CHATS,16/Jun/25,Applesauce,Lunch,,1,30,30,,,x,16/Jun/25
Curlew,17/Jun/25,Applesauce,AM Snack,2,1,35,35,,,x,16/Jun/25
Aurora CHATS,17/Jun/25,Applesauce,Lunch R,,1,1,1,"Jackie J. - Peppers, Radish, Melon, Cucumber",,x,16/Jun/25
Curlew,19/Jun/25,Applesauce,AM Snack,4,1,35,35,,,x,18/Jun/25
Westover,26/Jun/25,Baby Carrots,Snack,1,42,43,1806,,,x,23/Jun/25
Westover,28/Jun/25,Baby Carrots,Snack,3,42,24,1008,,,x,23/Jun/25
Westover,1/Jul/25,Baguette,Breakfast,6,0.2,43,8.6,,,x,23/Jun/25
Westover,27/Jun/25,Baked Beans,Dinner,2,100,43,4300,,x,,23/Jun/25
Ying's,25/Jun/25,Baked Beans,Lunch,,75,6,525,,x,,23/Jun/25
MIYM,25/Jun/25,Baked Beans,Lunch,,75,7,525,,x,,23/Jun/25
Richmond Hill CHATS,17/Jun/25,Baked Beans,Lunch,,75,0,0,,x,,16/Jun/25
Bradford CHATS,17/Jun/25,Baked Beans,Lunch,,75,20,1500,,x,,16/Jun/25
Curlew,17/Jun/25,Baked Beans,Lunch,2,105,40,4200,,,hot,17/Jun/25
Vaughan CHATS,17/Jun/25,Baked Beans,Lunch,,75,50,3750,,x,,16/Jun/25
Dovercourt,17/Jun/25,Baked Beans,Dinner,2,100,25,2500,,x,,15/Jun/25
Macey,17/Jun/25,Baked Beans,Dinner,2,100,25,2500,,x,,15/Jun/25
Aurora CHATS,17/Jun/25,Baked Beans,Lunch,,75,25,1875,,x,,16/Jun/25
Westover,29/Jun/25,Banana,Breakfast,4,0.5,43,21.5,,,x,23/Jun/25
Westover,30/Jun/25,Banana,Snack,5,1,43,43,,,x,23/Jun/25
